system:index,NDVI,.geo
134,0.18872017353579176,"{""type"":""Point"",""coordinates"":[72.86567172624272,19.12310141757618]}"
135,0.49206890670305303,"{""type"":""Point"",""coordinates"":[72.93515405306802,19.126027014917693]}"
136,-0.11080989495086412,"{""type"":""Point"",""coordinates"":[72.77812628622904,19.089583549816062]}"
137,-0.14713382858410023,"{""type"":""Point"",""coordinates"":[72.79711475390829,18.965335629216685]}"
138,-0.0966643975493533,"{""type"":""Point"",""coordinates"":[72.80139463500848,19.03109628388853]}"
139,0.13713001124016486,"{""type"":""Point"",""coordinates"":[73.0448296502669,19.07275060683628]}"
140,-0.09404924760601915,"{""type"":""Point"",""coordinates"":[72.77634676952572,19.033236702491443]}"
141,0.08014571948998178,"{""type"":""Point"",""coordinates"":[72.83120131851119,19.01837917634865]}"
142,0.2325925925925926,"{""type"":""Point"",""coordinates"":[72.80982378190508,19.19652725248989]}"
143,0.07577077164257098,"{""type"":""Point"",""coordinates"":[73.06199060011167,19.126476952144344]}"
144,-0.09758518028448561,"{""type"":""Point"",""coordinates"":[72.80563493001956,19.050055368109003]}"
145,0.3896014882992265,"{""type"":""Point"",""coordinates"":[72.88585887042684,19.152641962017135]}"
146,-0.11934283942963422,"{""type"":""Point"",""coordinates"":[72.89430728371876,18.978542558715073]}"
147,0.09543886546569567,"{""type"":""Point"",""coordinates"":[73.02241500625018,19.074912737829774]}"
148,0.07890499194847021,"{""type"":""Point"",""coordinates"":[72.92286683701138,19.063630337732697]}"
149,0.13642813703628623,"{""type"":""Point"",""coordinates"":[72.94520450719992,19.197613972457674]}"
150,0.25097936798119613,"{""type"":""Point"",""coordinates"":[72.89629218608214,19.165792144867012]}"
151,0.2535564853556485,"{""type"":""Point"",""coordinates"":[72.84217567765104,19.039734185444928]}"
152,-0.11053315994798439,"{""type"":""Point"",""coordinates"":[72.81487101794416,19.083516362873933]}"
153,0.14182547642928786,"{""type"":""Point"",""coordinates"":[72.87628617382822,19.117533094750325]}"
154,0.1798872995231903,"{""type"":""Point"",""coordinates"":[72.91523107422763,19.057786877597845]}"
155,-0.12919124181950392,"{""type"":""Point"",""coordinates"":[72.86185236657155,18.94629126707856]}"
156,-0.0016172506738544475,"{""type"":""Point"",""coordinates"":[72.95951723624366,18.960994108708956]}"
157,0.08833296435687403,"{""type"":""Point"",""coordinates"":[72.84140663795941,19.038083315871127]}"
158,0.16779698096696566,"{""type"":""Point"",""coordinates"":[73.00231865518745,19.012487132471882]}"
159,0.2872622200818685,"{""type"":""Point"",""coordinates"":[72.94957776799109,19.12005505291894]}"
160,0.06416758544652701,"{""type"":""Point"",""coordinates"":[72.93370258158265,19.112766484726667]}"
161,0.25570111596312467,"{""type"":""Point"",""coordinates"":[72.93238976660804,19.01543367814008]}"
162,0.12515592515592516,"{""type"":""Point"",""coordinates"":[72.96492213379013,18.963235613751205]}"
163,0.4177667493796526,"{""type"":""Point"",""coordinates"":[72.89123418149276,19.187806325047642]}"
164,0.13423351866560762,"{""type"":""Point"",""coordinates"":[73.02148142319724,19.18951127311473]}"
165,0.10219249349684133,"{""type"":""Point"",""coordinates"":[72.84735192650773,19.138297817919547]}"
166,0.2484809721778062,"{""type"":""Point"",""coordinates"":[72.9382015340276,19.162409766044274]}"
167,0.3197485367439844,"{""type"":""Point"",""coordinates"":[73.04687675214615,19.151026220106782]}"
168,0.05000728969237498,"{""type"":""Point"",""coordinates"":[72.87312872090432,19.095600965634773]}"
169,0.20090585571012617,"{""type"":""Point"",""coordinates"":[73.04349584654112,19.028512665187876]}"
170,-0.1529028757460662,"{""type"":""Point"",""coordinates"":[72.7982912825551,18.96235669037435]}"
171,-0.13135804709832571,"{""type"":""Point"",""coordinates"":[72.84738619273163,18.933059074334373]}"
172,-0.12242268041237113,"{""type"":""Point"",""coordinates"":[72.90316133493951,18.991673518607875]}"
173,0.13232187439984636,"{""type"":""Point"",""coordinates"":[73.01316609388607,19.009951727290694]}"
174,-0.12313432835820895,"{""type"":""Point"",""coordinates"":[72.88043649692253,18.967138339271557]}"
175,0.3394820858460447,"{""type"":""Point"",""coordinates"":[72.8136977588426,19.15508660759317]}"
176,0.11724884917411318,"{""type"":""Point"",""coordinates"":[72.84684274883597,19.12879789627326]}"
177,0.09384991536580779,"{""type"":""Point"",""coordinates"":[73.03111230674412,19.050894407139804]}"
178,0.09152086137281291,"{""type"":""Point"",""coordinates"":[73.0590563278842,19.113435247415406]}"
179,0.27933673469387754,"{""type"":""Point"",""coordinates"":[72.84986902008319,19.140194968512947]}"
